,Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_other,ans_prob_obs_edit_subject_good,ans_prob_obs_edit_subject_new,ans_prob_obs_edit_subject_great,ans_prob_obs_edit_subject_big,ans_prob_obs_edit_subject_high,ans_prob_obs_edit_subject_old,ans_prob_obs_edit_subject_bad,ans_prob_obs_edit_subject_different,ans_prob_obs_edit_subject_american,ans_prob_obs_edit_subject_little,ans_prob_obs_edit_subject_sure,ans_prob_obs_edit_subject_small,ans_prob_obs_edit_subject_right,ans_prob_obs_edit_subject_large,ans_prob_obs_edit_subject_real,ans_prob_obs_edit_subject_best,ans_prob_obs_edit_subject_long,ans_prob_obs_edit_subject_young,ans_prob_obs_edit_subject_important,ans_prob_obs_edit_subject_only,ans_prob_obs_edit_subject_national,ans_prob_obs_edit_subject_black,ans_prob_obs_edit_subject_social,ans_prob_obs_edit_subject_able,ans_prob_obs_edit_subject_political,ans_prob_obs_edit_subject_public,ans_prob_obs_edit_subject_white,ans_prob_obs_edit_subject_better,ans_prob_obs_edit_subject_late,ans_prob_obs_edit_subject_free,ans_prob_obs_edit_subject_sorry,ans_prob_obs_edit_subject_low,ans_prob_obs_edit_subject_human,ans_prob_obs_edit_subject_TRUE,ans_prob_obs_edit_subject_whole,ans_prob_obs_edit_subject_easy,ans_prob_obs_edit_subject_hard,ans_prob_obs_edit_subject_early,ans_prob_obs_edit_subject_possible
0,0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,0.008232928812503815,4.932623414788395e-05,6.87778174324194e-06,6.366764864651486e-05,1.1774143786169589e-05,1.402637849423627e-06,2.777829877231852e-06,5.8210363931721076e-05,6.461455086537171e-06,3.6317242120276205e-06,1.98881662072381e-06,4.750428615807323e-06,1.2810849511879496e-05,1.3148782272764947e-05,4.723128313344205e-06,5.532795512408484e-06,1.1869426089106128e-05,0.00010491577995708212,1.7906221501107211e-06,3.245540938223712e-05,8.054292266024277e-06,6.231283623492345e-05,0.00018556522263679653,7.321154498640681e-06,2.6447492018633056e-06,8.237977453973144e-06,7.473022560589015e-05,1.5141648646022077e-06,1.8414833903079852e-05,1.9222816263209097e-06,4.923167580273002e-06,3.5865539302903926e-06,1.7994219888350926e-05,1.497342782386113e-05,6.793117336201249e-06,3.486587593215518e-05,1.2886631338915322e-05,9.15076452656649e-06,4.310692474973621e-06,2.3550051992060617e-05,7.061317319312366e-06,5.014541784476023e-06
1,1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,0.0008711694972589612,0.00025853849365375936,6.133053102530539e-05,0.00021524543990381062,7.445530354743823e-05,0.00018290489970240742,0.00021219038171693683,0.000318885751767084,0.00012058255379088223,0.0003303744306322187,1.467452420911286e-05,0.00018056014960166067,0.00011623250611592084,0.000381659745471552,0.0002085500891553238,7.686086610192433e-05,0.00015359563985839486,0.0001332564715994522,0.000167694830452092,6.69280780130066e-05,1.843290010583587e-05,0.0001971071760635823,0.00034693992347456515,5.644557677442208e-05,0.00015860125131439418,4.2852516344282776e-05,0.00032799021573737264,1.595694266143255e-05,0.000106966654129792,0.00021840074623469263,1.829966095101554e-05,0.0001969112636288628,0.00017789752746466547,0.0001589284947840497,0.0003184873203281313,0.00010032603313447908,9.399050759384409e-05,0.00011271677067270502,0.0003382746363058686,0.0001834352151490748,9.792041964828968e-05,8.935006917454302e-05
2,2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,8.411989983869717e-05,0.0004912512376904488,0.0005998268024995923,0.0004111870366614312,0.0003736892540473491,0.0004315453697927296,0.00020773378491867334,0.0010941646760329604,0.00022568032727576792,0.0004817610024474561,0.00012005797179881483,0.0014928106684237719,0.00011070971231674775,0.00028687919257208705,0.00021550276142079383,0.00016334101383108646,0.00022582449309993535,0.0002536671527195722,0.000850487092975527,0.00023701935424469411,0.0001773633703123778,0.0003486469795461744,0.0011262819170951843,0.00019050698028877378,0.00036632412229664624,0.00014282182382885367,0.0007110827718861401,0.00028167085838504136,0.0003188581904396415,0.00048064131988212466,8.924206485971808e-05,0.000473616091767326,0.00021118621225468814,0.00021134252892807126,0.0007664876757189631,0.0002466503356117755,0.00023022897948976606,0.00015030299255158752,0.0005548710469156504,0.0003052061074413359,0.00020215280528645962,0.0002721823693718761
3,3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,0.001990450546145439,0.0024354520719498396,0.0017474982887506485,0.0022687739692628384,0.0008168184431269765,0.0019109088461846113,0.0008768676198087633,0.0028352015651762486,0.0031779983546584845,0.0023930754978209734,0.00022416353749576956,0.002970535308122635,0.001020746654830873,0.009942407719790936,0.0020308084785938263,0.003888402832672,0.0035450002178549767,0.0018482739105820656,0.0027243702206760645,0.0021020357962697744,0.00031277735251933336,0.0016968242125585675,0.0026004500687122345,0.003154622158035636,0.00505287479609251,0.0010520868236199021,0.0009480829467065632,0.000692656496539712,0.0021848997566848993,0.008391096256673336,0.0001180219478555955,0.0016006462974473834,0.003338766051456332,0.003890407970175147,0.0014032620238140225,0.0025727900210767984,0.0025630074087530375,0.0016669952310621738,0.0016412562690675259,0.0029160298872739077,0.0003740511601790786,0.002113565569743514
4,4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,0.0001276375405723229,0.0002599450235720724,0.00014643128088209778,0.0001457623584428802,0.0002292907447554171,0.0002054595242952928,0.0001882709184428677,0.00023568620963487774,0.0004859355103690177,0.00021615017612930387,0.0005374359898269176,0.0002490149054210633,0.00029971598996780813,0.0003297458461020142,0.0002140889409929514,0.0004718367999885231,0.0002308824914507568,0.00036343865212984383,0.00014708400703966618,0.00021500216098502278,9.761572437128052e-05,0.0002236481086583808,0.0002089288318529725,0.00019423764024395496,0.00023978053650353104,0.00016516870527993888,0.00016553806199226528,0.00010901166388066486,0.00022476089361589402,0.0001265497412532568,0.0001373279665131122,0.0003142463101539761,0.00012746182619594038,0.00013647352170664817,0.00017666474741417915,0.00016451087140012532,3.8797210436314344e-05,0.0001551610475871712,0.0002692916605155915,0.0003267348511144519,0.00014522692072205245,0.00012307293945923448
5,5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,0.0023919674567878246,0.007725769653916359,0.0032275677658617496,0.008684766478836536,0.0034146402031183243,0.0031201038509607315,0.004498322959989309,0.006621294654905796,0.0026486259885132313,0.008058941923081875,0.0003083389310631901,0.005662064999341965,0.0020179899875074625,0.0072903260588645935,0.0028523472137749195,0.002057526493445039,0.002873654942959547,0.0032049636356532574,0.005631685256958008,0.0027828176971524954,0.001471806550398469,0.004554412793368101,0.0047691939398646355,0.0011191294761374593,0.006431916728615761,0.0011645755730569363,0.00172606750857085,0.0005038943490944803,0.003721041139215231,0.007607453502714634,0.0006684475811198354,0.004700911231338978,0.005770611576735973,0.007141530513763428,0.00364069570787251,0.003207360627129674,0.0010940765496343374,0.0015843133442103863,0.004874633625149727,0.0044866264797747135,0.001321690622717142,0.0007806734647601843
6,6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,5.075889475847362e-06,3.870691216434352e-05,3.4400269214529544e-05,1.824274477257859e-05,4.566943061945494e-06,5.60955741093494e-05,5.283308837533696e-06,0.00017681479221209884,7.081931835273281e-05,9.630567365093157e-05,5.768873506895034e-06,0.00011983217700617388,3.791276185438619e-06,9.877032425720245e-05,4.5861356738896575e-06,2.861328175640665e-05,6.325510639726417e-06,7.691627251915634e-05,0.0003147261159028858,3.4800150388036855e-06,2.8562369607243454e-06,6.006050170981325e-06,0.0002565130707807839,1.4986895621404983e-05,2.537733962526545e-05,3.469915554887848e-06,0.00012620657798834145,4.3830291929225496e-07,1.5057505152071826e-05,0.00015761655231472105,5.63643936857261e-07,9.429791134607513e-06,5.884717029402964e-05,2.5101001028815517e-06,9.710717131383717e-05,2.3219463400891982e-05,4.863019967160653e-06,0.0006100732134655118,3.232031667721458e-05,3.729736272362061e-05,1.9271240034868242e-06,5.383206007536501e-05
7,7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,2.735403541009873e-05,6.602785288123414e-05,0.00015516619896516204,4.421736957738176e-05,1.7101683624787256e-05,0.0001230673078680411,3.1742692954139784e-05,0.00023389337002299726,5.52472411072813e-05,0.00017426672275178134,3.5052824387094006e-05,0.0005320056225173175,3.196858233422972e-05,0.00028341662255115807,3.275286144344136e-05,3.43020619766321e-05,5.190647789277136e-05,5.9164027334190905e-05,0.0001914219610625878,2.2294620066531934e-05,1.394378523400519e-05,4.974813782609999e-05,0.0005736045422963798,7.235054363263771e-05,7.450520934071392e-05,1.338962192676263e-05,0.00018503417959436774,1.5155700566538144e-05,6.941130413906649e-05,9.767873416421935e-05,2.018141640292015e-05,4.345484558143653e-05,4.431999695952982e-05,2.0727255105157383e-05,0.0001281334407394752,2.3241256712935865e-05,0.001209084177389741,0.00025567691773176193,0.00012326888099778444,9.657565533416346e-05,1.3670850421476644e-05,6.502443284261972e-05
8,8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,2.9115126380929723e-06,0.02449272759258747,0.020045634359121323,0.0513056218624115,0.051202964037656784,0.02813684195280075,0.00869404710829258,0.043315351009368896,0.028027847409248352,0.03516777604818344,0.04700114578008652,0.00932998489588499,0.013881905935704708,0.012495982460677624,0.029272964224219322,0.044964179396629333,0.035170070827007294,0.0034827538765966892,0.018670570105314255,0.02659159153699875,0.06543184816837311,0.03626846522092819,0.02060779556632042,0.07156402617692947,0.006430363282561302,0.06185004487633705,0.04812221974134445,0.05464060977101326,0.04392280802130699,0.05272842198610306,0.03207708150148392,0.02586326003074646,0.03629397600889206,0.0374615415930748,0.019956190139055252,0.012943940237164497,0.007724345661699772,0.00017062864208128303,0.030354566872119904,0.0322832316160202,0.03384111076593399,0.00694021163508296
9,9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,2.517986672501138e-07,3.0784417504037265e-06,7.5468110480869655e-06,4.563722995953867e-06,1.8740918221737957e-06,1.5341481685027247e-06,4.139484190091025e-06,4.133258698857389e-06,3.922035830328241e-06,3.805169399129227e-06,3.2564853427174967e-06,1.3869067743144115e-06,2.5151107365672942e-06,1.4644582506662118e-06,1.935738964675693e-06,4.910585630568676e-06,1.8821243656930164e-06,4.515593445830746e-06,1.2415642913765623e-06,6.046535645509721e-07,3.0439446163654793e-06,2.929840093202074e-06,5.9634085118887015e-06,2.083211938952445e-06,2.6569218789518345e-06,3.2712205211282708e-06,1.4294456377683673e-05,2.117015355906915e-06,1.6638480246911058e-06,4.215469743940048e-06,1.7897485804496682e-06,2.4123039565893123e-06,2.5152057787636295e-06,1.5435446130140917e-06,3.3228266147489194e-06,1.8774115915221046e-06,1.7765023585525341e-06,1.4348407830766519e-06,1.8291107153345365e-06,2.3188040358945727e-06,1.938967898240662e-06,5.075995886727469e-06
